Date,Open,High,Low,Close,Adj Close,Volume
2017-04-19,15.360000,15.450000,15.355000,15.405000,15.405000,15691
2017-04-20,15.375000,15.455000,15.375000,15.455000,15.455000,99
2017-04-21,15.565000,15.565000,15.565000,15.565000,15.565000,0
2017-04-24,15.580000,15.740000,15.580000,15.703000,15.703000,30751
2017-04-25,15.748000,15.748000,15.748000,15.748000,15.748000,0
2017-04-26,15.750000,15.885000,15.750000,15.885000,15.885000,11793
2017-04-27,15.728000,15.728000,15.728000,15.728000,15.728000,0
2017-04-28,15.685000,15.705000,15.658000,15.658000,15.658000,75779
2017-05-02,15.735000,15.735000,15.650000,15.683000,15.683000,1043
2017-05-03,15.680000,15.685000,15.660000,15.685000,15.685000,18130
2017-05-04,15.795000,15.840000,15.750000,15.798000,15.798000,80110
2017-05-05,15.755000,15.755000,15.755000,15.755000,15.755000,0
2017-05-08,15.785000,15.820000,15.785000,15.820000,15.820000,2495
2017-05-09,15.880000,15.880000,15.830000,15.830000,15.830000,746
2017-05-10,15.720000,15.870000,15.715000,15.870000,15.870000,6025
2017-05-11,15.775000,15.805000,15.715000,15.760000,15.760000,4035
2017-05-12,15.735000,15.735000,15.575000,15.633000,15.633000,144373
2017-05-15,15.645000,15.713000,15.645000,15.713000,15.713000,11092
2017-05-16,15.665000,15.665000,15.595000,15.595000,15.595000,9037
2017-05-17,15.455000,15.455000,15.205000,15.205000,15.205000,11589
2017-05-18,15.040000,15.190000,14.995000,15.170000,15.170000,65383
2017-05-19,15.190000,15.270000,15.190000,15.243000,15.243000,6376
2017-05-22,15.205000,15.218000,15.205000,15.218000,15.218000,160
2017-05-23,15.278000,15.278000,15.278000,15.278000,15.278000,0
2017-05-24,15.320000,15.358000,15.320000,15.358000,15.358000,144
2017-05-25,15.325000,15.325000,15.325000,15.325000,15.325000,0
2017-05-26,15.350000,15.350000,15.310000,15.340000,15.340000,597
2017-05-29,15.325000,15.335000,15.325000,15.335000,15.335000,146
2017-05-30,15.360000,15.360000,15.260000,15.263000,15.263000,6960
2017-05-31,15.200000,15.200000,15.080000,15.085000,15.085000,3551
2017-06-01,15.150000,15.208000,15.150000,15.208000,15.208000,17
2017-06-02,15.215000,15.215000,15.193000,15.193000,15.193000,7620
2017-06-05,null,null,null,null,null,null
2017-06-06,15.150000,15.150000,15.130000,15.130000,15.130000,147
2017-06-07,15.220000,15.220000,15.220000,15.220000,15.220000,0
2017-06-08,15.330000,15.448000,15.330000,15.448000,15.448000,16240
2017-06-09,15.520000,15.635000,15.520000,15.635000,15.635000,6360
2017-06-12,15.590000,15.605000,15.575000,15.575000,15.575000,22811
2017-06-13,15.700000,15.700000,15.690000,15.690000,15.690000,200
2017-06-14,15.740000,15.740000,15.505000,15.505000,15.505000,8185
2017-06-15,15.645000,15.668000,15.640000,15.668000,15.668000,72
2017-06-16,15.625000,15.653000,15.625000,15.653000,15.653000,1635
2017-06-19,15.770000,15.818000,15.770000,15.818000,15.818000,336
2017-06-20,15.755000,15.755000,15.755000,15.755000,15.755000,336
2017-06-21,15.650000,15.650000,15.633000,15.633000,15.633000,765
2017-06-22,15.520000,15.573000,15.495000,15.573000,15.573000,120684
2017-06-23,15.540000,15.540000,15.493000,15.493000,15.493000,2332
2017-06-26,15.580000,15.590000,15.513000,15.513000,15.513000,3374
2017-06-27,15.490000,15.523000,15.490000,15.523000,15.523000,200
2017-06-28,15.585000,15.630000,15.555000,15.630000,15.630000,535
2017-06-29,15.865000,15.870000,15.630000,15.630000,15.630000,766
2017-06-30,15.690000,15.690000,15.595000,15.595000,15.595000,15202
2017-07-03,15.735000,15.905000,15.735000,15.870000,15.870000,4072
2017-07-04,15.905000,15.990000,15.840000,15.920000,15.920000,58006
2017-07-05,15.910000,15.945000,15.905000,15.945000,15.945000,8665
2017-07-06,15.910000,15.930000,15.830000,15.885000,15.885000,34778
2017-07-07,15.845000,15.845000,15.730000,15.835000,15.835000,41173
2017-07-10,15.895000,15.895000,15.825000,15.845000,15.845000,81142
2017-07-11,15.960000,15.960000,15.740000,15.740000,15.740000,15251
2017-07-12,15.780000,15.870000,15.725000,15.840000,15.840000,13974
2017-07-13,15.925000,15.955000,15.860000,15.945000,15.945000,5193
2017-07-14,15.955000,15.975000,15.755000,15.830000,15.830000,23941
2017-07-17,15.895000,15.895000,15.805000,15.840000,15.840000,8747
2017-07-18,15.815000,15.815000,15.605000,15.605000,15.605000,9868
2017-07-19,15.760000,15.780000,15.690000,15.780000,15.780000,20883
2017-07-20,15.835000,15.865000,15.640000,15.640000,15.640000,11741
2017-07-21,15.675000,15.675000,15.570000,15.575000,15.575000,6526
2017-07-24,15.590000,15.650000,15.545000,15.620000,15.620000,12145
2017-07-25,15.695000,15.825000,15.690000,15.825000,15.825000,7616
2017-07-26,15.750000,15.855000,15.750000,15.835000,15.835000,2188
2017-07-27,15.750000,15.760000,15.710000,15.760000,15.760000,7386
2017-07-28,15.685000,15.685000,15.555000,15.575000,15.575000,9037
2017-07-31,15.685000,15.690000,15.600000,15.615000,15.615000,3356
2017-08-01,15.755000,15.790000,15.670000,15.710000,15.710000,8797
2017-08-02,15.680000,15.710000,15.615000,15.640000,15.640000,5712
2017-08-03,15.625000,15.680000,15.570000,15.580000,15.580000,12127
2017-08-04,15.610000,15.800000,15.600000,15.800000,15.800000,4433
2017-08-07,15.745000,15.775000,15.720000,15.720000,15.720000,12318
2017-08-08,15.725000,15.850000,15.700000,15.850000,15.850000,2757
2017-08-09,15.750000,15.750000,15.600000,15.660000,15.660000,25932
2017-08-10,15.690000,15.710000,15.510000,15.510000,15.510000,2533
2017-08-11,15.510000,15.510000,15.510000,15.510000,15.510000,0
2017-08-14,15.410000,15.515000,15.410000,15.515000,15.515000,196
2017-08-15,15.605000,15.675000,15.500000,15.565000,15.565000,5827
2017-08-16,15.625000,15.700000,15.615000,15.640000,15.640000,2957
2017-08-17,15.485000,15.575000,15.470000,15.470000,15.470000,6549
2017-08-18,15.325000,15.370000,15.325000,15.370000,15.370000,79
2017-08-21,15.270000,15.330000,15.170000,15.200000,15.200000,41336
2017-08-22,15.315000,15.335000,15.270000,15.335000,15.335000,12594
2017-08-23,15.345000,15.365000,15.285000,15.300000,15.300000,5902
2017-08-24,15.335000,15.365000,15.285000,15.285000,15.285000,5427
2017-08-25,15.380000,15.380000,15.255000,15.255000,15.255000,3837
2017-08-28,15.205000,15.205000,15.085000,15.085000,15.085000,4192
2017-08-29,14.965000,14.965000,14.810000,14.885000,14.885000,5521
2017-08-30,15.075000,15.095000,14.985000,15.085000,15.085000,20852
2017-08-31,15.180000,15.235000,15.165000,15.180000,15.180000,2122
2017-09-01,15.120000,15.285000,15.120000,15.260000,15.260000,6293
2017-09-04,15.145000,15.145000,15.105000,15.120000,15.120000,401
2017-09-05,15.105000,15.120000,15.000000,15.000000,15.000000,4402
2017-09-06,14.915000,14.930000,14.870000,14.930000,14.930000,1455
2017-09-07,14.905000,14.920000,14.695000,14.695000,14.695000,4924
2017-09-08,14.650000,14.800000,14.650000,14.800000,14.800000,5888
2017-09-11,14.995000,15.050000,14.925000,15.035000,15.035000,8656
2017-09-12,15.180000,15.210000,15.130000,15.210000,15.210000,14282
2017-09-13,15.180000,15.320000,15.180000,15.300000,15.300000,20480
2017-09-14,15.340000,15.350000,15.265000,15.330000,15.330000,19141
2017-09-15,15.290000,15.290000,15.200000,15.215000,15.215000,9004
2017-09-18,15.405000,15.405000,15.270000,15.345000,15.345000,3934
2017-09-19,15.355000,15.415000,15.295000,15.415000,15.415000,7392
2017-09-20,15.345000,15.400000,15.340000,15.400000,15.400000,9533
2017-09-21,15.585000,15.585000,15.525000,15.545000,15.545000,21529
2017-09-22,15.565000,15.565000,15.520000,15.520000,15.520000,12216
2017-09-25,15.580000,15.600000,15.540000,15.575000,15.575000,5265
2017-09-26,15.630000,15.680000,15.630000,15.650000,15.650000,3409
2017-09-27,15.700000,15.885000,15.700000,15.830000,15.830000,10361
